precipitationLast6Hours,visibility,barometricPressure,windDirection,relativeHumidity,heatIndex,rawMessage,timestamp,maxTemperatureLast24Hours,elevation,temperature,minTemperatureLast24Hours,precipitationLastHour,precipitationLast3Hours,dewpoint,windChill,windGust,seaLevelPressure,windSpeed,textDescription
,16090,102200,20,61.814618307198,,KJFK 031551Z 02008KT 10SM BKN250 16/08 A3018 RMK AO2 SLP219 T01560083,2022-05-03T15:51:00+00:00,,7,15.6,,,,8.3,,,102190,14.76,Mostly Cloudy
,16090,101660,,13.44989358988,,KLGA 292351Z 35017G21KT 10SM FEW070 14/M13 A3002 RMK AO2 SLP166 T01441133 10167 20144 53012,2022-04-29T23:51:00+00:00,,9,14.4,,,,-13.3,,38.88,101660,,Mostly Clear
,16090,101560,190,64.241540272317,,KEWR 060651Z 19004KT 10SM SCT140 BKN180 OVC250 15/08 A2999 RMK AO2 SLP154 T01500083,2022-05-06T06:51:00+00:00,,9,15,,,,8.3,,,101540,7.56,Cloudy
,16090,101930,10,85.795186713907,,KTEB 030458Z 01006KT 10SM BKN012 12/09 A3010 RMK AO2 T01170094,2022-05-03T04:58:00+00:00,,3,11.7,,,,9.4,,,,11.16,Mostly Cloudy
,16090,101490,150,90.036281705393,,KJFK 061451Z 15010KT 10SM -RA BKN012 BKN075 OVC090 13/12 A2997 RMK AO2 RAE00B24 SLP148 P0000 60003 T01330117 56009,2022-05-06T14:51:00+00:00,,7,13.3,,0,0,11.7,,,101480,18.36,Light Rain
,16090,,,,,KNYC 031351Z AUTO 06007KT 10SM BKN021 14/08 A3020 RMK AO2 SLP216 T01440083 $,2022-05-03T13:51:00+00:00,,27,,,,,,,,,,Mostly Cloudy
,16090,101630,360,72.034842210106,,KLGA 050551Z 36009KT 10SM OVC042 15/10 A3001 RMK AO2 SLP161 T01500100 10178 20144 50005,2022-05-05T05:51:00+00:00,,9,15,,,,10,,,101610,16.56,Cloudy
,16090,101490,0,69.194009692531,,KEWR 060951Z 00000KT 10SM SCT060 OVC095 15/09 A2997 RMK AO2 SLP147 T01500094,2022-05-06T09:51:00+00:00,,9,15,,,,9.4,,,101470,0,Cloudy
,8050,101690,,86.313549377715,,KTEB 021032Z 28012KT 5SM TSRA BR SCT023 BKN039 OVC100 11/09 A3003 RMK AO2 WSHFT 1001 LTG DSNT SE RAB0955 TSB0956E11B12 TS FRQ LTG CGICCCCA P0009 T01110089,2022-05-02T10:32:00+00:00,,3,11.1,,0,,8.9,,,,,Thunderstorms and Rain and Fog/Mist
,16090,,,,,KTEB 042058Z 36004KT 10SM SCT021 BKN120 18/12 A2991 RMK AO2 T01780122,2022-05-04T20:58:00+00:00,,3,,,,,,,,,,Mostly Cloudy
,16090,101520,160,61.814618307198,,KEWR 060551Z 16004KT 10SM FEW150 BKN180 OVC250 16/08 A2998 RMK AO2 SLP153 T01560083 10194 20156 58016,2022-05-06T05:51:00+00:00,,9,15.6,,,,8.3,,,101530,7.56,Cloudy
,16090,101660,0,66.902625351419,,KNYC 060751Z AUTO 00000KT 10SM CLR 15/09 A3002 RMK AO2 SLP156 T01500089 $,2022-05-06T07:51:00+00:00,,27,15,,,,8.9,,,101560,0,Clear
,16090,101930,,32.262558109461,20.767966795080557,,2022-05-05T16:51:00+00:00,,27,21.7,,,,4.4,,,101840,7.56,
,3220,101730,70,89.490389141325,,KEWR 021609Z 07005KT 2SM -DZ BR OVC004 14/12 A3004 RMK AO2 P0000 T01390122 $,2022-05-02T16:09:00+00:00,,9,13.9,,0,,12.2,,,,9.36,Light Drizzle and Fog/Mist
,16090,101690,130,59.60087967417,,KLGA 020751Z 13003KT 10SM OVC025 13/06 A3003 RMK AO2 SLP170 T01330056 $,2022-05-02T07:51:00+00:00,,9,13.3,,,,5.6,,,101700,5.4,Cloudy
,8050,101460,,83.831702542696,,KNYC 041851Z AUTO VRB03KT 5SM HZ OVC039 14/12 A2996 RMK AO2 SLP138 T01440117 $,2022-05-04T18:51:00+00:00,,27,14.4,,,,11.7,,,101380,5.4,Haze
0,14480,101760,40,86.590548811883,,KEWR 022351Z 04008KT 9SM BKN006 OVC010 14/12 A3005 RMK AO2 SLP175 60000 T01390117 10144 20139 53011 $,2022-05-02T23:51:00+00:00,,9,13.9,,,,11.7,,,101750,14.76,Cloudy
,16090,102000,210,85.913626837241,,KJFK 010451Z 21005KT 10SM CLR 07/05 A3012 RMK AO2 SLP199 T00720050 401890067,2022-05-01T04:51:00+00:00,,7,7.2,,,,5,5.430357626322222,,101990,9.36,Clear
,16090,101320,250,67.711655156444,,KEWR 042251Z 25006KT 10SM FEW020 FEW070 SCT100 BKN140 19/13 A2992 RMK AO2 SLP130 T01890128,2022-05-04T22:51:00+00:00,,9,18.9,,,,12.8,,,101300,11.16,Mostly Cloudy
,6440,101760,120,86.202442841334,,KTEB 040651Z 12007KT 4SM BR OVC009 10/08 A3005 RMK AO2 SLP175 T01000078,2022-05-04T06:51:00+00:00,,3,10,,,,7.8,,,101750,12.96,Fog/Mist
,16090,102130,50,47.704271987516,,KNYC 011051Z AUTO 05003KT 10SM CLR 10/M01 A3016 RMK AO2 SLP202 T01001006 $,2022-05-01T10:51:00+00:00,,27,10,,,,-0.6,,,102020,5.4,Clear
,16090,102030,0,65.581393779178,,,2022-05-01T08:51:00+00:00,,27,8.9,,,,2.8,,,101950,0,
,16090,101360,250,69.746258773174,,KEWR 041951Z 25007G16KT 10SM FEW018 SCT038 BKN050 18/12 A2993 RMK AO2 SLP134 T01780122,2022-05-04T19:51:00+00:00,,9,17.8,,,,12.2,,,101340,12.96,Mostly Cloudy
,11270,101520,80,86.531884394108,,KTEB 061251Z 08003KT 7SM -RA OVC070 13/11 A2998 RMK AO2 SLP152 P0006 T01330111,2022-05-06T12:51:00+00:00,,3,13.3,,0,,11.1,,,101520,5.4,Light Rain
,16090,101930,30,64.486025639597,,KTEB 051251Z 03006KT 10SM FEW036 16/09 A3010 RMK AO2 SLP194 T01610094,2022-05-05T12:51:00+00:00,,3,16.1,,,,9.4,,,101940,11.16,Mostly Clear
,16090,,,,,KTEB 030224Z 05003KT 10SM OVC012 12/10 A3008 RMK AO2 T01170100,2022-05-03T02:24:00+00:00,,3,,,,,,,,,,Cloudy
,16090,101690,150,66.434122377317,,KLGA 020851Z 15008KT 10SM -RA OVC021 13/07 A3003 RMK AO2 RAB06 SLP169 P0000 60000 T01280067 56004 $,2022-05-02T08:51:00+00:00,,9,12.8,,0,0,6.7,,,101690,14.76,Light Rain
,11270,101730,160,61.697619772929,,KEWR 020751Z 16004KT 7SM RA OVC025 13/06 A3004 RMK AO2 RAB39 SLP172 P0000 T01330061,2022-05-02T07:51:00+00:00,,9,13.3,,0,,6.1,,,101720,7.56,Rain
,6440,101630,,86.313549377715,,KLGA 021951Z 04016KT 4SM BR OVC004 11/09 A3001 RMK AO2 DZE16 SLP162 P0000 T01110089,2022-05-02T19:51:00+00:00,,9,11.1,,0,,8.9,,,101620,,Fog/Mist
,1610,101730,40,89.269748995158,,KLGA 021651Z 04013KT 1SM R04/4000V5000FT -RA BR OVC006 11/09 A3004 RMK AO2 CIG 003V009 SLP170 P0002 T01110094,2022-05-02T16:51:00+00:00,,9,11.1,,0,,9.4,,,101700,24.12,Light Rain and Fog/Mist
,16090,101800,110,59.60087967417,,KNYC 020751Z AUTO 11004KT 10SM OVC023 13/06 A3006 RMK AO2 SLP170 T01330056 $,2022-05-02T07:51:00+00:00,,27,13.3,,,,5.6,,,101700,7.56,Cloudy
,16090,101900,180,25.709266126067,,KLGA 011851Z 18011KT 10SM FEW150 SCT190 BKN250 18/M02 A3009 RMK AO2 SLP188 T01831017,2022-05-01T18:51:00+00:00,,9,18.3,,,,-1.7,,,101880,20.52,Mostly Cloudy
,4830,,,,,KNYC 061251Z AUTO 00000KT 3SM -RA BR FEW026 OVC060 14/13 A3001 RMK AO2 SLP154 P0004 T01390128 $,2022-05-06T12:51:00+00:00,,27,,,0,,,,,,,Light Rain and Fog/Mist
,16090,102170,130,66.902625351419,,KJFK 031851Z 13015KT 10SM SCT034 SCT180 OVC250 15/09 A3017 RMK AO2 SLP215 T01500089,2022-05-03T18:51:00+00:00,,7,15,,,,8.9,,,102150,27.72,Cloudy
